Feature,Importance
Poor_Mental_Health_Days,0.41579974
Employment_Status_8.0,0.057735886
Sex,0.05679087
Ever_Arthritis,0.047887716
Ever_COPD,0.03485036
Smoked_100_Cigarettes,0.034806773
General_Health,0.030602735
Race_Ethnicity_1.0,0.02941391
Poor_Physical_Health_Days,0.026599415
Marital_Status_1.0,0.02562302
BMI_Category,0.020671627
Could_Not_Afford_Doctor,0.01829102
Race_Ethnicity_2.0,0.0153030595
Marital_Status_2.0,0.015249775
Age_Group,0.013897519
State_15.0,0.010484934
Ever_Kidney_Disease,0.010267322
Race_Ethnicity_3.0,0.008428568
Education_Level,0.008222208
Marital_Status_3.0,0.0081849815
Employment_Status_1.0,0.0074946424
Income_Level,0.0072492356
Have_Health_Plan,0.007215924
Diabetes_Status_3.0,0.0071256678
Diabetes_Status_1.0,0.0070230733
Ever_Heart_Disease,0.006685849
Exercise_Past30Days,0.006342239
Employment_Status_2.0,0.0056672934
Employment_Status_7.0,0.0055098734
Ever_Stroke,0.0053244266
Employment_Status_4.0,0.0051807226
Employment_Status_3.0,0.0051523666
Marital_Status_4.0,0.0047826977
Race_Ethnicity_5.0,0.0040793144
Vegetables_Per_Day,0.004079097
Marital_Status_5.0,0.0039862227
Employment_Status_6.0,0.0039456417
Fruit_Per_Day,0.003935396
Employment_Status_5.0,0.003891817
Marital_Status_6.0,0.0035456903
Diabetes_Status_2.0,0.0026712855
